listing_id,title,price_raw,bedrooms_raw,bathrooms_raw,size_raw,location,property_type,status,listing_type,agent,url,scraped_at
3453290,4 Bed Townhouse with En Suite in Kileleshwa,"KSh 270,000/ month",4 Bedrooms,3 Bathrooms,,,Townhouse,,rent,Kileleshwa 4 bed room Town House To Let,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-kileleshwa-16-3453290,2026-03-05 17:08
3786148,2 Bed Townhouse with En Suite in Kileleshwa,"KSh 190,000/ month",2 Bedrooms,2 Bathrooms,,,Townhouse,,rent,Kileleshwa Large 2 Bedroom Townhouse For Rent.,https://www.buyrentkenya.com/listings/2-bedroom-townhouse-for-rent-kileleshwa-2-3786148,2026-03-05 17:08
3920119,5 Bed House with En Suite at Peponi Road,"KSh 400,000/ month",5 Bedrooms,4 Bathrooms,,"Spring Valley, Westlands",House,,rent,Stunning colonial style house in a quiet enviro...,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-spring-valley-3920119,2026-03-05 17:08
3926611,5 Bed Townhouse with En Suite in Lavington,"KSh 400,000/ month",5 Bedrooms,6 Bathrooms,,,Townhouse,,rent,5 bedroom townhouse for rent in lavington,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3926611,2026-03-05 17:08
3926582,5 Bed House with En Suite in Runda,"KSh 440,000/ month",5 Bedrooms,5 Bathrooms,,"Bedroom House Runda, Westlands",House,,rent,🏡 FOR RENT: Runda – Five-Bedroom House,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-runda-3926582,2026-03-05 17:08
3926573,4 Bed House with En Suite in Runda,"KSh 400,000/ month",4 Bedrooms,4 Bathrooms,,"Bedroom House for Rent Runda, Westlands",House,,rent,Runda – Four-Bedroom House for Rent,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-runda-3926573,2026-03-05 17:08
3926543,4 Bed House with En Suite in Nyari,"KSh 451,500/ month",4 Bedrooms,4 Bathrooms,,"Nyari House in a Gated Compound Nyari, Westlands",House,,rent,FOR RENT: Nyari House in a Gated Compound,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-nyari-3926543,2026-03-05 17:08
3926532,4 Bed House with En Suite in Runda,"KSh 350,000/ month",4 Bedrooms,4 Bathrooms,,"Bedroom House Runda, Westlands",House,,rent,FOR RENT: Runda – Four-Bedroom House,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-runda-3926532,2026-03-05 17:08
3926524,4 Bed House with En Suite in Kilimani,"KSh 400,000/ month",4 Bedrooms,4 Bathrooms,,,House,,rent,🏡 FOR RENT: Kilimani – Four-Bedroom Penthouse,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-kilimani-3926524,2026-03-05 17:08
3926492,5 Bed Townhouse with En Suite in Lavington,"KSh 450,000/ month",5 Bedrooms,6 Bathrooms,,,Townhouse,,rent,🏡 Available Immediately | 5-Bedroom Luxury Tow...,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3926492,2026-03-05 17:08
3920215,5 Bed Villa with En Suite in Lavington,"KSh 350,000/ month",5 Bedrooms,5 Bathrooms,,,Villa,,rent,LAVINGTON 5-BEDROOM VILLA WITH DSQ & BIG GARDEN,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-rent-lavington-3920215,2026-03-05 17:08
3926437,4 Bed House with En Suite in Loresho,"KSh 619,000/ month",4 Bedrooms,4 Bathrooms,,"Bedroom House Loresho, Westlands",House,,rent,🏡 FOR RENT: Loresho – Four-Bedroom House,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-loresho-3926437,2026-03-05 17:08
