listing_id,title,price_kes,bedrooms,bathrooms,size_sqm,property_type,neighbourhood,county,listing_type,is_sale,is_nairobi,total_rooms,price_per_sqm,bedroom_category,url,scraped_at,price_raw,bedrooms_raw,bathrooms_raw,size_raw,location
3937045,4 Bed House with En Suite in Nyari,450000.0,4.0,4.0,,House,Nyari,Westlands,rent,0,0,8.0,,4-5 Bed,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-nyari-3937045,2026-03-05 17:04,"KSh 450,000/ month",4 Bedrooms,4 Bathrooms,,"Nyari, Westlands"
3936748,4 Bed Villa with En Suite in Kiambu Road,230000.0,4.0,5.0,324.0,Villa,Kiambu Road,,rent,0,0,9.0,710.0,4-5 Bed,https://www.buyrentkenya.com/listings/4-bedroom-villa-for-rent-kiambu-road-3936748,2026-03-05 17:04,"KSh 230,000/ month",4 Bedrooms,5 Bathrooms,324 m²,
3936412,2 Bed House with En Suite in Nyari,275000.0,2.0,2.0,,House,Nyari Nyari,Westlands,rent,0,0,4.0,,2 Bed,https://www.buyrentkenya.com/listings/2-bedroom-house-for-rent-nyari-3936412,2026-03-05 17:04,"KSh 275,000/ month",2 Bedrooms,2 Bathrooms,,"Nyari Nyari, Westlands"
3936719,5 Bed Villa with En Suite in Kiambu Road,180000.0,5.0,6.0,453.0,Villa,Kiambu Road,,rent,0,0,11.0,397.0,4-5 Bed,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-rent-kiambu-road-3936719,2026-03-05 17:04,"KSh 180,000/ month",5 Bedrooms,6 Bathrooms,453 m²,
3935205,5 Bed Villa with En Suite in Lavington,350000.0,5.0,6.0,,Villa,Lavington,,rent,0,1,11.0,,4-5 Bed,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-rent-lavington-3935205,2026-03-05 17:04,"KSh 350,000/ month",5 Bedrooms,6 Bathrooms,,
3936528,3 Bed Townhouse with Swimming Pool in Runda,210000.0,3.0,4.0,,Townhouse,Runda,,rent,0,1,7.0,,3 Bed,https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-rent-runda-3936528,2026-03-05 17:04,"KSh 210,000/ month",3 Bedrooms,4 Bathrooms,,"Bedroom townhouse available for rent in Runda Runda, Westlands"
3936527,4 Bed Townhouse with Swimming Pool in Kiambu Road,150000.0,4.0,5.0,,Townhouse,Kiambu Road,,rent,0,0,9.0,,4-5 Bed,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-kiambu-road-3936527,2026-03-05 17:04,"KSh 150,000/ month",4 Bedrooms,5 Bathrooms,,
3936526,4 Bed Townhouse with Swimming Pool in Runda,350000.0,4.0,5.0,,Townhouse,Runda,,rent,0,1,9.0,,4-5 Bed,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-runda-3936526,2026-03-05 17:04,"KSh 350,000/ month",4 Bedrooms,5 Bathrooms,,"Bedroom House available for Rent in Fivestar Runda, Westlands"
3936523,6 Bed Townhouse with En Suite at Convent Drive,440000.0,6.0,6.0,,Townhouse,Convent Drive,,rent,0,0,12.0,,6+ Bed,https://www.buyrentkenya.com/listings/6-bedroom-townhouse-for-rent-lavington-3936523,2026-03-05 17:04,"KSh 440,000/ month",6 Bedrooms,6 Bathrooms,,
3936522,5 Bed Townhouse with En Suite at Mzima Springs,650000.0,5.0,5.0,,Townhouse,Mzima Springs,,rent,0,0,10.0,,4-5 Bed,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3936522,2026-03-05 17:04,"KSh 650,000/ month",5 Bedrooms,5 Bathrooms,,
